study_id,cell_id,block_id,model,family,stage,layout_id,within_block_order,form,physical_goal_sign,prompt_id,prompt,prompt_sha256,environment_seed,effective_policy_seed,action_cap,status,fixture_sha256,runtime_sha256,time_map_sha256
SGW-01,LAT-P01-D1-D-NEG,LAT-P01-D1,D1,LAT,P,LAT-P01,5,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20260923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-P01-D1-I-NEG,LAT-P01-D1,D1,LAT,P,LAT-P01,6,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20260923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-N3-C-POS,LAT-D01-N3,N3,LAT,D,LAT-D01,1,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20261923,2026092301,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-N3-C-NEG,LAT-D01-N3,N3,LAT,D,LAT-D01,2,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20261923,2026092301,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-N3-D-POS,LAT-D01-N3,N3,LAT,D,LAT-D01,3,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20261923,2026092301,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-N3-D-NEG,LAT-D01-N3,N3,LAT,D,LAT-D01,4,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20261923,2026092301,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-N3-I-NEG,LAT-D01-N3,N3,LAT,D,LAT-D01,5,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20261923,2026092301,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-N3-I-POS,LAT-D01-N3,N3,LAT,D,LAT-D01,6,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20261923,2026092301,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-D1-C-POS,LAT-D01-D1,D1,LAT,D,LAT-D01,1,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20261923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-D1-C-NEG,LAT-D01-D1,D1,LAT,D,LAT-D01,2,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20261923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-D1-D-POS,LAT-D01-D1,D1,LAT,D,LAT-D01,3,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20261923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-D1-D-NEG,LAT-D01-D1,D1,LAT,D,LAT-D01,4,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20261923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-D1-I-NEG,LAT-D01-D1,D1,LAT,D,LAT-D01,5,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20261923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D01-D1-I-POS,LAT-D01-D1,D1,LAT,D,LAT-D01,6,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20261923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-N3-C-NEG,LAT-D02-N3,N3,LAT,D,LAT-D02,1,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20261924,2026092302,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-N3-D-POS,LAT-D02-N3,N3,LAT,D,LAT-D02,2,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20261924,2026092302,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-N3-D-NEG,LAT-D02-N3,N3,LAT,D,LAT-D02,3,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20261924,2026092302,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-N3-I-NEG,LAT-D02-N3,N3,LAT,D,LAT-D02,4,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20261924,2026092302,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-N3-I-POS,LAT-D02-N3,N3,LAT,D,LAT-D02,5,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20261924,2026092302,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-N3-C-POS,LAT-D02-N3,N3,LAT,D,LAT-D02,6,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20261924,2026092302,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-D1-C-NEG,LAT-D02-D1,D1,LAT,D,LAT-D02,1,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20261924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-D1-D-POS,LAT-D02-D1,D1,LAT,D,LAT-D02,2,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20261924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-D1-D-NEG,LAT-D02-D1,D1,LAT,D,LAT-D02,3,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20261924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-D1-I-NEG,LAT-D02-D1,D1,LAT,D,LAT-D02,4,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20261924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-D1-I-POS,LAT-D02-D1,D1,LAT,D,LAT-D02,5,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20261924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D02-D1-C-POS,LAT-D02-D1,D1,LAT,D,LAT-D02,6,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20261924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-N3-D-POS,LAT-D03-N3,N3,LAT,D,LAT-D03,1,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20261925,2026092303,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-N3-D-NEG,LAT-D03-N3,N3,LAT,D,LAT-D03,2,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20261925,2026092303,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-N3-I-NEG,LAT-D03-N3,N3,LAT,D,LAT-D03,3,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20261925,2026092303,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-N3-I-POS,LAT-D03-N3,N3,LAT,D,LAT-D03,4,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20261925,2026092303,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-N3-C-POS,LAT-D03-N3,N3,LAT,D,LAT-D03,5,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20261925,2026092303,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-N3-C-NEG,LAT-D03-N3,N3,LAT,D,LAT-D03,6,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20261925,2026092303,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-D1-D-POS,LAT-D03-D1,D1,LAT,D,LAT-D03,1,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20261925,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-D1-D-NEG,LAT-D03-D1,D1,LAT,D,LAT-D03,2,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20261925,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-D1-I-NEG,LAT-D03-D1,D1,LAT,D,LAT-D03,3,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20261925,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-D1-I-POS,LAT-D03-D1,D1,LAT,D,LAT-D03,4,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20261925,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-D1-C-POS,LAT-D03-D1,D1,LAT,D,LAT-D03,5,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20261925,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D03-D1-C-NEG,LAT-D03-D1,D1,LAT,D,LAT-D03,6,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20261925,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-N3-D-NEG,LAT-D04-N3,N3,LAT,D,LAT-D04,1,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20261926,2026092304,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-N3-I-NEG,LAT-D04-N3,N3,LAT,D,LAT-D04,2,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20261926,2026092304,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-N3-I-POS,LAT-D04-N3,N3,LAT,D,LAT-D04,3,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20261926,2026092304,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-N3-C-POS,LAT-D04-N3,N3,LAT,D,LAT-D04,4,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20261926,2026092304,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-N3-C-NEG,LAT-D04-N3,N3,LAT,D,LAT-D04,5,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20261926,2026092304,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-N3-D-POS,LAT-D04-N3,N3,LAT,D,LAT-D04,6,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20261926,2026092304,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-D1-D-NEG,LAT-D04-D1,D1,LAT,D,LAT-D04,1,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20261926,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-D1-I-NEG,LAT-D04-D1,D1,LAT,D,LAT-D04,2,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20261926,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-D1-I-POS,LAT-D04-D1,D1,LAT,D,LAT-D04,3,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20261926,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-D1-C-POS,LAT-D04-D1,D1,LAT,D,LAT-D04,4,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20261926,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-D1-C-NEG,LAT-D04-D1,D1,LAT,D,LAT-D04,5,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20261926,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-D04-D1-D-POS,LAT-D04-D1,D1,LAT,D,LAT-D04,6,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20261926,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-N3-I-POS,LAT-C01-N3,N3,LAT,C,LAT-C01,1,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20262923,2026092401,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-N3-C-NEG,LAT-C01-N3,N3,LAT,C,LAT-C01,2,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20262923,2026092401,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-N3-I-NEG,LAT-C01-N3,N3,LAT,C,LAT-C01,3,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20262923,2026092401,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-N3-C-POS,LAT-C01-N3,N3,LAT,C,LAT-C01,4,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20262923,2026092401,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-N3-D-POS,LAT-C01-N3,N3,LAT,C,LAT-C01,5,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20262923,2026092401,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-N3-D-NEG,LAT-C01-N3,N3,LAT,C,LAT-C01,6,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20262923,2026092401,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-D1-I-POS,LAT-C01-D1,D1,LAT,C,LAT-C01,1,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20262923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-D1-C-NEG,LAT-C01-D1,D1,LAT,C,LAT-C01,2,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20262923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-D1-I-NEG,LAT-C01-D1,D1,LAT,C,LAT-C01,3,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20262923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-D1-C-POS,LAT-C01-D1,D1,LAT,C,LAT-C01,4,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20262923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-D1-D-POS,LAT-C01-D1,D1,LAT,C,LAT-C01,5,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20262923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C01-D1-D-NEG,LAT-C01-D1,D1,LAT,C,LAT-C01,6,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20262923,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-N3-C-NEG,LAT-C02-N3,N3,LAT,C,LAT-C02,1,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20262924,2026092402,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-N3-I-NEG,LAT-C02-N3,N3,LAT,C,LAT-C02,2,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20262924,2026092402,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-N3-C-POS,LAT-C02-N3,N3,LAT,C,LAT-C02,3,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20262924,2026092402,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-N3-D-POS,LAT-C02-N3,N3,LAT,C,LAT-C02,4,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20262924,2026092402,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-N3-D-NEG,LAT-C02-N3,N3,LAT,C,LAT-C02,5,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20262924,2026092402,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-N3-I-POS,LAT-C02-N3,N3,LAT,C,LAT-C02,6,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20262924,2026092402,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-D1-C-NEG,LAT-C02-D1,D1,LAT,C,LAT-C02,1,C,-1,LAT-C-NEG,Place the Rubik's cube so that the Rubik's cube is to the right of the bowl.,7b8582cd1340a540266f361902a3790fdd972ad704cfc3140ec6948f33b8f301,20262924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-D1-I-NEG,LAT-C02-D1,D1,LAT,C,LAT-C02,2,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20262924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-D1-C-POS,LAT-C02-D1,D1,LAT,C,LAT-C02,3,C,1,LAT-C-POS,Place the Rubik's cube so that the Rubik's cube is to the left of the bowl.,0627baa29ac138ba59a7f8a9e19b78a31258b525c26545131047e39619e3215c,20262924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-D1-D-POS,LAT-C02-D1,D1,LAT,C,LAT-C02,4,D,1,LAT-D-POS,Put the Rubik's cube to the left of the bowl.,7a9010154f1b73764e6fec767eff0563dfe95807babb6369e7cd6de60ec7aa92,20262924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-D1-D-NEG,LAT-C02-D1,D1,LAT,C,LAT-C02,5,D,-1,LAT-D-NEG,Put the Rubik's cube to the right of the bowl.,61d9185096c89b210dc3e920914c889cf2292bed07f1265521658c5a5988e7f4,20262924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C02-D1-I-POS,LAT-C02-D1,D1,LAT,C,LAT-C02,6,I,1,LAT-I-POS,Place the Rubik's cube so that the bowl is to the right of the Rubik's cube.,6ed00a80ed714a034daa682371ddf42c2e576e40ccc4345fa73053833b4e2d39,20262924,1140,450,PLANNED_NOT_RELEASED,,,
SGW-01,LAT-C03-N3-I-NEG,LAT-C03-N3,N3,LAT,C,LAT-C03,1,I,-1,LAT-I-NEG,Place the Rubik's cube so that the bowl is to the left of the Rubik's cube.,3c36eb09d55cf3875d3d5e49abd4571bdedddb069b328fcb62abd08fc6a515b0,20262925,2026092403,450,PLANNED_NOT_RELEASED,,,
